frame.number	frame.time	frame.time_relative	ip.proto	ip.src	udp.srcport	tcp.srcport	ip.dst	udp.dstport	tcp.dstport	frame.len
1	Apr 25, 2006 05:58:54.624365001 CDT	0.000000000	17	192.168.62.121	32917		227.111.1.3	12345		1358
2	Apr 25, 2006 05:58:54.624484002 CDT	0.000119000	17	192.168.62.121	32915		227.111.1.1	12345		1358
3	Apr 25, 2006 05:58:54.624692003 CDT	0.000327000	17	192.168.62.121	32916		227.111.1.2	12345		1358
4	Apr 25, 2006 05:58:54.624911004 CDT	0.000546000	17	192.168.62.121	32920		227.111.1.4	12345		1358
5	Apr 25, 2006 05:58:54.625132000 CDT	0.000767000	17	192.168.62.121	32923		227.111.1.6	12345		1358
6	Apr 25, 2006 05:58:54.625347000 CDT	0.000982000	17	192.168.62.121	32921		227.111.1.5	12345		1358
7	Apr 25, 2006 05:58:54.625558000 CDT	0.001193000	17	192.168.62.121	32917		227.111.1.3	12345		1358
8	Apr 25, 2006 05:58:54.625778000 CDT	0.001413000	17	192.168.62.121	32915		227.111.1.1	12345		1358
9	Apr 25, 2006 05:58:54.625998000 CDT	0.001633000	17	192.168.62.121	32920		227.111.1.4	12345		1358
10	Apr 25, 2006 05:58:54.626217000 CDT	0.001852000	17	192.168.62.121	32923		227.111.1.6	12345		1358
11	Apr 25, 2006 05:58:54.626438000 CDT	0.002073000	17	192.168.62.121	32921		227.111.1.5	12345		1358
12	Apr 25, 2006 05:58:54.626658000 CDT	0.002293000	17	192.168.62.121	32917		227.111.1.3	12345		1358
13	Apr 25, 2006 05:58:54.626877000 CDT	0.002512000	17	192.168.62.121	32915		227.111.1.1	12345		1358
14	Apr 25, 2006 05:58:54.627097000 CDT	0.002732000	17	192.168.62.121	32917		227.111.1.3	12345		1358
15	Apr 25, 2006 05:58:54.627295000 CDT	0.002930000	17	192.168.62.121	32923		227.111.1.6	12345		1358
16	Apr 25, 2006 05:58:54.627433000 CDT	0.003068000	17	192.168.62.121	32921		227.111.1.5	12345		1358
17	Apr 25, 2006 05:58:54.627440000 CDT	0.003075000	6	10.100.100.100		2834	192.168.62.121		5901	60
18	Apr 25, 2006 05:58:54.627445000 CDT	0.003080000	6	192.168.62.121		5901	10.100.100.100		2834	60
19	Apr 25, 2006 05:58:54.627701000 CDT	0.003336000	17	192.168.62.121	32916		227.111.1.2	12345		1358
20	Apr 25, 2006 05:58:54.627894000 CDT	0.003529000	17	192.168.62.121	32920		227.111.1.4	12345		1358
21	Apr 25, 2006 05:58:54.628083000 CDT	0.003718000	17	192.168.62.121	32917		227.111.1.3	12345		1358
22	Apr 25, 2006 05:58:54.628308000 CDT	0.003943000	17	192.168.62.121	32915		227.111.1.1	12345		1358
23	Apr 25, 2006 05:58:54.628505000 CDT	0.004140000	17	192.168.62.121	32923		227.111.1.6	12345		1358
24	Apr 25, 2006 05:58:54.628681000 CDT	0.004316000	17	192.168.62.121	32921		227.111.1.5	12345		1358
25	Apr 25, 2006 05:58:54.628865000 CDT	0.004500000	17	192.168.62.121	32920		227.111.1.4	12345		1358
26	Apr 25, 2006 05:58:54.629060000 CDT	0.004695000	17	192.168.62.121	32917		227.111.1.3	12345		1358
27	Apr 25, 2006 05:58:54.629239000 CDT	0.004874000	17	192.168.62.121	32915		227.111.1.1	12345		1358
28	Apr 25, 2006 05:58:54.629435000 CDT	0.005070000	17	192.168.62.121	32923		227.111.1.6	12345		1358
29	Apr 25, 2006 05:58:54.629633000 CDT	0.005268000	17	192.168.62.121	32921		227.111.1.5	12345		1358
30	Apr 25, 2006 05:58:54.629819000 CDT	0.005454000	17	192.168.62.121	32917		227.111.1.3	12345		1358
31	Apr 25, 2006 05:58:54.629968000 CDT	0.005603000	17	192.168.62.121	32920		227.111.1.4	12345		1358
32	Apr 25, 2006 05:58:54.630159000 CDT	0.005794000	17	192.168.62.121	32915		227.111.1.1	12345		1358
33	Apr 25, 2006 05:58:54.630340000 CDT	0.005975000	17	192.168.62.121	32923		227.111.1.6	12345		1358
34	Apr 25, 2006 05:58:54.630532000 CDT	0.006167000	17	192.168.62.121	32921		227.111.1.5	12345		1358
35	Apr 25, 2006 05:58:54.630729000 CDT	0.006364000	17	192.168.62.121	32916		227.111.1.2	12345		1358
36	Apr 25, 2006 05:58:54.630950000 CDT	0.006585000	17	192.168.62.121	32917		227.111.1.3	12345		1358
37	Apr 25, 2006 05:58:54.631164000 CDT	0.006799000	17	192.168.62.121	32923		227.111.1.6	12345		1358
38	Apr 25, 2006 05:58:54.631350000 CDT	0.006985000	17	192.168.62.121	32921		227.111.1.5	12345		1358
39	Apr 25, 2006 05:58:54.644265000 CDT	0.019900000	17	192.168.62.121	32920		227.111.1.4	12345		1358
40	Apr 25, 2006 05:58:54.644386000 CDT	0.020021000	17	192.168.62.121	32915		227.111.1.1	12345		1358
41	Apr 25, 2006 05:58:54.644560000 CDT	0.020195000	17	192.168.62.121	32917		227.111.1.3	12345		1358
42	Apr 25, 2006 05:58:54.644729000 CDT	0.020364000	17	192.168.62.121	32917		227.111.1.3	12345		1358
43	Apr 25, 2006 05:58:54.644899000 CDT	0.020534000	17	192.168.62.121	32923		227.111.1.6	12345		1358
44	Apr 25, 2006 05:58:54.645088000 CDT	0.020723000	17	192.168.62.121	32921		227.111.1.5	12345		1358
45	Apr 25, 2006 05:58:54.645270000 CDT	0.020905000	17	192.168.62.121	32915		227.111.1.1	12345		1358
46	Apr 25, 2006 05:58:54.645284000 CDT	0.020919000	6	10.100.100.100		2834	192.168.62.121		5901	60
47	Apr 25, 2006 05:58:54.645290000 CDT	0.020925000	6	192.168.62.121		5901	10.100.100.100		2834	60
